algorithm,size
leiden,75
leiden,49
leiden,49
leiden,49
leiden,48
leiden,41
leiden,28
leiden,26
leiden,23
leiden,22
leiden,21
leiden,19
leiden,13
leiden,11
leiden,7
leiden,5
leiden,4
leiden,4
leiden,4
leiden,96
leiden,68
leiden,67
leiden,66
leiden,62
leiden,61
leiden,59
leiden,54
leiden,23
leiden,19
leiden,8
leiden,7
leiden,49
leiden,30
leiden,22
leiden,20
leiden,12
leiden,11
leiden,8
leiden,111
leiden,110
leiden,98
leiden,91
leiden,73
leiden,51
leiden,45
leiden,36
leiden,32
leiden,20
leiden,9
leiden,7
leiden,6
leiden,4
leiden,83
leiden,81
leiden,67
leiden,55
leiden,47
leiden,46
leiden,39
leiden,34
leiden,13
leiden,13
leiden,16
leiden,10
leiden,8
leiden,8
leiden,7
leiden,6
leiden,87
leiden,44
leiden,39
leiden,22
leiden,22
leiden,13
leiden,11
leiden,10
leiden,5
leiden,5
leiden,4
leiden,38
leiden,31
leiden,21
leiden,17
leiden,16
leiden,10
leiden,9
leiden,153
leiden,152
leiden,143
leiden,129
leiden,47
leiden,42
leiden,35
leiden,28
leiden,20
leiden,188
leiden,37
leiden,30
leiden,22
leiden,18
leiden,14
leiden,10
leiden,8
leiden,4
leiden,4
leiden,4
leiden,867
leiden,745
leiden,470
leiden,365
leiden,300
leiden,259
leiden,256
leiden,233
leiden,195
leiden,153
leiden,150
leiden,113
leiden,84
leiden,44
leiden,21
leiden,12
leiden,5
leiden,4
leiden,4
leiden,37
leiden,31
leiden,30
leiden,29
leiden,29
leiden,25
leiden,20
leiden,14
leiden,7
leiden,7
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,25
leiden,18
leiden,8
leiden,7
leiden,6
leiden,6
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,125
leiden,107
leiden,102
leiden,99
leiden,86
leiden,80
leiden,56
leiden,49
leiden,45
leiden,33
leiden,31
leiden,23
leiden,22
leiden,21
leiden,19
leiden,19
leiden,10
leiden,9
leiden,6
leiden,564
leiden,508
leiden,445
leiden,398
leiden,232
leiden,228
leiden,221
leiden,215
leiden,189
leiden,137
leiden,75
leiden,75
leiden,44
leiden,40
leiden,34
leiden,10
leiden,10
leiden,10
leiden,5
leiden,4
leiden,4
leiden,17
leiden,13
leiden,9
leiden,25
leiden,22
leiden,21
leiden,18
leiden,15
leiden,14
leiden,12
leiden,174
leiden,111
leiden,82
leiden,52
leiden,44
leiden,40
leiden,15
leiden,7
leiden,6
leiden,6
leiden,4
leiden,17
leiden,16
leiden,13
leiden,12
leiden,10
leiden,9
leiden,5
leiden,4
leiden,118
leiden,95
leiden,66
leiden,65
leiden,54
leiden,38
leiden,24
leiden,18
leiden,13
leiden,7
leiden,65
leiden,46
leiden,44
leiden,35
leiden,20
leiden,20
leiden,17
leiden,317
leiden,93
leiden,58
leiden,52
